time_s,azimuth_rad,pitch_rad,roll_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s
0.00000,1.933825,0.029671,-0.020944,-0.155334,-0.071558,0.027925
0.05350,1.928589,0.029671,-0.022689,-0.022689,-0.082030,0.006981
0.08830,1.925098,0.029671,-0.022689,0.008727,-0.066323,-0.008727
0.24980,1.928589,0.029671,-0.022689,0.001745,0.022689,0.000000
0.43330,1.925098,0.029671,-0.022689,-0.001745,-0.036652,0.001745
0.46760,1.923353,0.029671,-0.022689,-0.001745,-0.054105,0.000000
0.53360,1.923353,0.029671,-0.019199,0.092502,0.015708,-0.012217
0.57450,1.925098,0.029671,-0.020944,0.000000,0.041888,-0.012217
0.63390,1.923353,0.029671,-0.020944,0.000000,-0.043633,-0.003491
1.01690,1.923353,0.029671,-0.019199,0.003491,0.073304,-0.001745
1.08430,1.930334,0.029671,-0.020944,0.001745,0.083776,-0.003491
1.13320,1.933825,0.029671,-0.020944,0.003491,0.061087,0.000000
1.33330,1.937315,0.029671,-0.020944,0.000000,0.038397,0.000000
1.46950,1.932079,0.029671,-0.020944,0.000000,-0.073304,0.003491
1.66700,1.933825,0.029671,-0.020944,0.006981,0.019199,-0.006981
1.84990,1.937315,0.029671,-0.020944,0.001745,0.040143,-0.001745
1.89990,1.939061,0.029671,-0.020944,0.001745,0.038397,-0.001745
1.94990,1.940806,0.029671,-0.019199,0.026180,0.031416,-0.008727
2.00000,1.940806,0.029671,-0.020944,-0.026180,0.005236,0.010472
2.07410,1.937315,0.029671,-0.022689,-0.029671,-0.061087,0.012217
2.11730,1.933825,0.029671,-0.022689,-0.008727,-0.101229,0.001745
2.25160,1.928589,0.031416,-0.022689,-0.001745,-0.029671,0.000000
2.32400,1.925098,0.031416,-0.022689,-0.003491,-0.062832,0.000000
2.35170,1.923353,0.031416,-0.022689,0.000000,-0.059341,0.000000
2.40780,1.919862,0.031416,-0.022689,-0.003491,-0.041888,-0.005236
2.45390,1.921608,0.031416,-0.022689,-0.013963,0.000000,-0.001745
2.50420,1.925098,0.031416,-0.022689,-0.001745,0.094248,-0.001745
2.53500,1.928589,0.031416,-0.022689,0.003491,0.108210,-0.003491
2.71690,1.928589,0.029671,-0.022689,-0.001745,-0.040143,0.000000
2.81670,1.930334,0.029671,-0.022689,0.001745,0.031416,0.000000
3.38380,1.933825,0.029671,-0.022689,-0.005236,0.048869,0.012217
3.48330,1.935570,0.029671,-0.024435,0.003491,-0.010472,0.001745
3.66650,1.939061,0.029671,-0.022689,0.000000,0.036652,0.000000
3.75010,1.937315,0.031416,-0.024435,0.000000,-0.033161,0.000000
3.79980,1.937315,0.031416,-0.022689,-0.003491,-0.013963,0.000000
3.86660,1.939061,0.031416,-0.022689,0.001745,0.024435,0.001745
4.11650,1.942551,0.031416,-0.022689,0.001745,0.047124,0.019199
4.16650,1.946042,0.031416,-0.022689,0.006981,0.082030,0.006981
4.20050,1.946042,0.031416,-0.022689,0.010472,0.001745,0.019199
4.25000,1.944297,0.033161,-0.024435,-0.012217,-0.087266,0.019199
4.28340,1.939061,0.033161,-0.024435,-0.003491,-0.113446,0.000000
4.33320,1.933825,0.033161,-0.024435,-0.012217,-0.141372,-0.020944
4.36650,1.928589,0.033161,-0.024435,0.006981,-0.116937,0.003491
4.44980,1.930334,0.033161,-0.022689,0.012217,0.068068,0.012217
4.51640,1.933825,0.033161,-0.024435,0.000000,0.012217,-0.017453
4.59980,1.932079,0.033161,-0.024435,0.000000,-0.029671,-0.003491
4.63320,1.932079,0.036652,-0.024435,0.003491,-0.034907,-0.029671
4.66650,1.930334,0.036652,-0.024435,-0.010472,-0.008727,0.029671
4.71660,1.930334,0.034907,-0.024435,0.000000,-0.047124,-0.008727
4.78340,1.925098,0.034907,-0.024435,-0.006981,-0.057596,-0.003491
4.83310,1.923353,0.034907,-0.022689,0.043633,-0.031416,-0.022689
4.91650,1.919862,0.034907,-0.024435,-0.017453,-0.061087,0.019199
4.94980,1.918117,0.036652,-0.024435,-0.003491,-0.066323,-0.008727
4.98320,1.916372,0.036652,-0.029671,-0.061087,-0.089012,-0.017453
5.01650,1.918117,0.033161,-0.026180,0.045379,0.069813,0.024435
5.04980,1.919862,0.031416,-0.026180,-0.017453,0.036652,-0.022689
5.09990,1.921608,0.033161,-0.026180,0.015708,0.034907,0.024435
5.16650,1.921608,0.033161,-0.027925,0.003491,-0.013963,0.005236
5.19980,1.919862,0.033161,-0.027925,0.005236,-0.036652,0.003491
5.28330,1.919862,0.031416,-0.027925,-0.008727,0.022689,-0.001745
5.33340,1.921608,0.031416,-0.027925,-0.005236,0.034907,-0.024435
6.36640,1.925098,0.031416,-0.027925,0.001745,0.022689,0.000000
6.44980,1.928589,0.029671,-0.027925,0.001745,0.047124,0.000000
6.48330,1.930334,0.029671,-0.027925,0.001745,0.048869,0.001745
6.58450,1.933825,0.029671,-0.027925,0.000000,0.027925,0.000000
6.73310,1.932079,0.029671,-0.027925,0.010472,-0.022689,0.000000
6.89980,1.928589,0.031416,-0.022689,0.019199,-0.013963,0.000000
7.11640,1.930334,0.031416,-0.022689,0.001745,0.019199,0.000000
7.39970,1.933825,0.029671,-0.022689,-0.005236,0.055851,0.000000
7.43310,1.937315,0.029671,-0.020944,0.005236,0.120428,0.001745
7.46640,1.942551,0.029671,-0.020944,0.000000,0.165806,0.001745
7.49990,1.946042,0.029671,-0.022689,0.001745,0.113446,0.000000
7.54980,1.946042,0.029671,-0.024435,0.000000,-0.071558,0.000000
7.58610,1.942551,0.029671,-0.024435,-0.001745,-0.120428,0.000000
7.61640,1.937315,0.029671,-0.022689,-0.003491,-0.115192,0.000000
7.69970,1.933825,0.029671,-0.022689,0.000000,-0.003491,0.000000
7.75520,1.937315,0.029671,-0.020944,0.000000,0.054105,0.000000
7.78320,1.939061,0.029671,-0.020944,0.001745,0.085521,0.000000
7.81720,1.942551,0.029671,-0.020944,0.001745,0.092502,0.000000
7.84950,1.946042,0.029671,-0.020944,0.001745,0.080285,0.000000
7.88310,1.947787,0.029671,-0.022689,0.001745,0.061087,0.000000
8.13560,1.951278,0.029671,-0.020944,0.003491,0.073304,0.001745
8.17150,1.958259,0.029671,-0.020944,0.003491,0.139626,0.001745
8.19970,1.961750,0.029671,-0.020944,0.005236,0.188496,0.001745
8.23380,1.970477,0.029671,-0.020944,0.005236,0.239110,0.001745
8.25800,1.979203,0.029671,-0.019199,0.006981,0.272271,0.001745
8.28440,1.984439,0.029671,-0.019199,0.006981,0.321141,0.001745
8.31970,1.998402,0.029671,-0.019199,0.008727,0.387463,0.003491
8.36690,2.021091,0.029671,-0.019199,0.008727,0.469494,0.005236
8.40070,2.038545,0.029671,-0.019199,0.012217,0.535816,0.005236
8.42170,2.057743,0.029671,-0.019199,0.012217,0.551524,0.005236
8.45270,2.068215,0.029671,-0.017453,0.013963,0.600393,0.005236
8.48390,2.089159,0.027925,-0.017453,0.013963,0.666716,0.005236
8.50640,2.101376,0.027925,-0.017453,0.013963,0.699877,0.006981
8.55290,2.139774,0.027925,-0.017453,0.017453,0.783653,0.006981
8.58920,2.181662,0.027925,-0.017453,0.019199,0.849975,0.006981
8.61710,2.197370,0.026180,-0.017453,0.019199,0.898845,0.006981
8.65050,2.228785,0.026180,-0.017453,0.020944,0.965167,0.006981
8.67290,2.263692,0.026180,-0.015708,0.020944,0.980875,0.008727
8.70030,2.281145,0.026180,-0.015708,0.022689,1.029744,0.008727
8.73590,2.316052,0.024435,-0.015708,0.022689,1.096067,0.008727
8.75740,2.335251,0.024435,-0.015708,0.024435,1.127483,0.008727
8.78340,2.375393,0.024435,-0.015708,0.026180,1.176352,0.010472
8.82140,2.415536,0.022689,-0.015708,0.026180,1.240929,0.010472
8.87010,2.481858,0.020944,-0.013963,0.027925,1.322960,0.010472
8.90010,2.527237,0.020944,-0.013963,0.029671,1.371829,0.012217
8.92230,2.549926,0.020944,-0.013963,0.029671,1.401499,0.010472
8.95250,2.598795,0.019199,-0.012217,0.031416,1.450369,0.012217
8.98670,2.649410,0.019199,-0.012217,0.031416,1.511455,0.012217
9.02020,2.701770,0.017453,-0.010472,0.033161,1.576032,0.006981
9.05140,2.755875,0.017453,-0.010472,0.033161,1.623156,0.013963
9.08990,2.839651,0.015708,-0.008727,0.034907,1.670280,0.013963
9.11750,2.867576,0.015708,-0.008727,0.036652,1.731367,0.013963
9.15230,2.926917,0.013963,-0.006981,0.038397,1.776745,0.013963
9.18310,2.988004,0.013963,-0.005236,0.040143,1.839577,0.015708
9.21940,3.050836,0.012217,-0.005236,0.038397,1.886701,0.015708
9.25920,3.148574,0.012217,-0.003491,0.041888,1.947787,0.015708
9.28510,3.181735,0.010472,-0.001745,0.041888,1.994911,0.015708
9.31680,3.249803,0.010472,0.000000,0.043633,2.040290,0.017453
9.34070,3.319616,0.010472,0.000000,0.043633,2.085668,0.017453
9.36740,3.356268,0.010472,0.001745,0.045379,2.132792,0.017453
9.39980,3.427827,0.010472,0.003491,0.047124,2.179916,0.017453
9.43910,3.541273,0.008727,0.005236,0.048869,2.225295,0.019199
9.46680,3.579670,0.008727,0.006981,0.048869,2.284636,0.019199
9.49970,3.656465,0.008727,0.008727,0.050615,2.330015,0.020944
9.53580,3.736750,0.008727,0.010472,0.050615,2.391101,0.020944
9.56700,3.817035,0.010472,0.012217,0.052360,2.434734,0.020944
9.59050,3.900811,0.010472,0.013963,0.057596,2.464405,0.020944
9.61700,3.942699,0.010472,0.013963,0.052360,2.509783,0.020944
9.65040,4.028220,0.010472,0.015708,0.055851,2.569125,0.020944
9.68670,4.115486,0.012217,0.017453,0.055851,2.614503,0.022689
9.71730,4.204498,0.012217,0.019199,0.057596,2.672099,0.022689
9.76860,4.340634,0.013963,0.022689,0.057596,2.743658,0.020944
9.80060,4.433136,0.015708,0.022689,0.057596,2.789036,0.020944
9.84240,4.576253,0.017453,0.024435,0.059341,2.844887,0.022689
9.86710,4.625123,0.019199,0.026180,0.061087,2.890265,0.022689
9.90100,4.722861,0.019199,0.026180,0.061087,2.946116,0.022689
